,0
0,0.22754728522252393
1,0.040025491858958394
2,0.008920873748138547
3,0.006374034288062437
4,0.005345716638289191
5,0.0046971139806398264
6,0.004350239096360432
7,0.004136775966381302
8,0.003986911524112361
9,0.003835983357291568
10,0.0037560260294609376
11,0.0036750434444764177
12,0.003610583525654432
13,0.0035709403455257416
14,0.003552040761663906
15,0.003506780290548262
16,0.0034909772409780606
17,0.003468246730925465
18,0.0034608644987078937
19,0.0034584374752248057
20,0.0034195107747674795
21,0.0034183391835540533
22,0.003402046421920327
23,0.0033862403644299185
