,0
0,0.0012249419698491693
1,0.0010864122596103698
2,0.001087454822845757
3,0.0011780718341469765
4,0.0010568771976977587
5,0.0009074114903341978
6,0.0008001238660654053
7,0.0007384182215901091
8,0.0006782279699109495
9,0.0007385341712506488
10,0.0006691172951832413
11,0.0007354830944677815
12,0.0008434001443674788
13,0.0009484780457569286
14,0.0011687404592521488
15,0.0010740817640908062
16,0.000987975049065426
17,0.0009035919734742493
18,0.0007126297248760238
19,0.0006088728958275169
20,0.0006334621924906969
21,0.0006597370724193752
22,0.0006817264686105773
23,0.0007373844651738182
24,0.0009347762301331386
25,0.0009770099190063775
26,0.0011073652713093907
27,0.0010961885505821555
28,0.001013538264669478
29,0.0010214763460680842
30,0.0010065047594252975
31,0.0010363592737121508
32,0.0008920554391806945
33,0.0008689449168741703
34,0.0008476052607875317
35,0.0008597213221946731
36,0.0007205696630990133
37,0.00077305112790782
38,0.0006755062844604254
39,0.0007171686622314156
40,0.0008896737592294813
41,0.0009010089794173837
42,0.0006301119894487784
43,0.0005910054343985394
44,0.0006051585980458186
45,0.0006474415917182341
46,0.0005853371549164876
47,0.0006098089419538155
48,0.0004881021712208167
49,0.0005340597592294217
50,0.000536262255627662
51,0.0005105057993205264
52,0.00042070427880389614
53,0.000474201726319734
54,0.0006008381809806451
55,0.0007579784403787925
56,0.0008512010041158647
57,0.0009157173743005842
58,0.0011519862106069922
59,0.0011577441764529794
60,0.0009808145434362814
61,0.0009762448287801817
62,0.0012625858304090797
63,0.0015557127539068461
64,0.0015863070613704622
65,0.0017685393453575672
66,0.002186085330322385
67,0.002312980231363326
68,0.0019519586639944464
69,0.0014928957680240273
70,0.00130586011800915
71,0.0012041972717270256
72,0.0011942649376578628
73,0.0010059324733447284
74,0.000787914905231446
75,0.000847168973996304
76,0.0010733497212640942
77,0.001076179137453437
78,0.0010629580385284499
79,0.0010849757760297506
80,0.0011602195678278803
81,0.001502944831736386
82,0.001528861786937341
83,0.0015687601931858807
84,0.0019548276846762746
85,0.002136580611113459
86,0.002061037311796099
87,0.002037801797268912
88,0.0021997628384269772
89,0.0020733362645842133
90,0.002319066529162228
91,0.002901938743889332
92,0.0023526714998297394
93,0.0019874453311786054
94,0.001994623080827296
95,0.001773278758628294
96,0.0014017537992913275
97,0.001104484440293163
98,0.0011112979438621551
99,0.001549547113245353
100,0.0018679475004319101
101,0.0019093668379355222
102,0.0020689199911430476
103,0.002257092099171132
104,0.002090722252614796
105,0.0016767125809565187
106,0.001346917258342728
107,0.0011287042521871626
108,0.001109055062988773
109,0.0010753044858574866
110,0.0009904044156428427
111,0.0008304878487251699
112,0.0006615632155444473
113,0.0006400635029422119
114,0.0006353347009280697
115,0.0007103218900738284
116,0.0006615622580284253
117,0.0006796466041123495
118,0.0008222561737056822
119,0.0010540960414800794
120,0.0011068817169871182
121,0.0009545642213197425
122,0.0007875435898313299
123,0.0005833649891428649
124,0.00068373680987861
125,0.000712413270957768
126,0.0006588117073988542
127,0.0006386000226484611
128,0.0006490763887995854
129,0.0007458445557858795
130,0.0007944888900965452
131,0.0007446526695275679
132,0.0007302111567696557
133,0.0008269843325251714
134,0.0007932799635455012
135,0.0007743434398435056
136,0.0007343034347286447
137,0.0006955062854103744
138,0.000768615715787746
139,0.0007668278238270431
140,0.0005857481417478993
141,0.0005195060890400782
142,0.000591873811208643
143,0.00063264713389799
144,0.0007442442700266838
145,0.0008630451251519844
146,0.001090388948796317
147,0.001183910429244861
148,0.001206957473186776
149,0.0012161072168964892
150,0.0011897449498064817
151,0.0012360609776806085
152,0.0014791168097872287
153,0.0015442147618159653
154,0.0013976996124256402
155,0.001363489346113056
156,0.0012154092779383062
157,0.0012116168800275773
158,0.0010206756211118772
159,0.0009346616949187592
160,0.0009424573596334085
161,0.0008387821930227801
162,0.0009573456889484077
163,0.0007987311808392405
164,0.0007217142672743648
165,0.0009199261257890612
166,0.001079124171519652
167,0.0009492965473327786
168,0.0010923258785624057
169,0.0011939808959141375
170,0.001544077496509999
171,0.0014833831053692847
172,0.0011317631462588907
173,0.0012835489469580352
174,0.001435329345986247
175,0.0011995016247965395
176,0.000882155291037634
177,0.0007831086433725432
178,0.0007553191826445982
179,0.0007488161587389186
180,0.0007889212662121281
181,0.001220153598114848
